PM2.5,PM10,TEMP,PRES,DEWP,RAIN,WSPM,PM2.5*,PM10*,SO2*,NO2*,CO*,O3*,CO,O3,SO2,NO2
13,15,12.3,1022,-15.4,0,2.4,3,7,14,30,600,72,500,80,12,25
13,20,13.9,1020.6,-16.2,0,3.3,13,15,12,25,500,80,500,86,10,21
3,9,14.8,1019.5,-15.5,0,1.4,13,20,10,21,500,86,500,92,6,18
3,6,15.3,1018.6,-15.1,0,1.3,3,9,6,18,500,92,500,92,6,18
4,10,15.6,1018.1,-14.8,0,2,3,6,6,18,500,92,500,89,6,23
18,18,14.7,1017.5,-15.5,0,2.9,4,10,6,23,500,89,600,85,9,31
17,24,13.2,1017.8,-15.7,0,3,18,18,9,31,600,85,600,102,8,33
20,29,12.6,1018.3,-13.4,0,2.9,17,24,8,33,600,102,600,94,9,35
31,60,12,1018.5,-13.1,0,2.7,20,29,9,35,600,94,700,68,13,53
39,86,10.9,1018.8,-11.9,0,1.4,31,60,13,53,700,68,1000,47,19,68
51,93,10.2,1018.8,-11.8,0,2,39,86,19,68,1000,47,1100,42,28,75
59,98,10,1018.5,-12,0,3,51,93,28,75,1100,42,1100,32,24,86
66,95,9.4,1017.5,-11.3,0,2.7,59,98,24,86,1100,32,1300,102,46,92
74,96,8.8,1017,-10.7,0,2.1,66,95,46,92,1300,102,1300,102,60,84
89,116,7.8,1016.5,-10.6,0,1.3,74,96,60,84,1300,102,1399,102,64,76
95,133,4.7,1016.1,-10.6,0,0,89,116,64,76,1399,102,1399,102,NA,71
104,136,4.5,1015.7,-9.3,0,0,95,133,NA,71,1399,102,NA,102,71,78
115,138,1.3,1015.7,-8.8,0,1.2,104,136,71,78,NA,102,1200,102,81,NA
131,146,0.4,1015.7,-9.6,0,0.8,115,138,81,NA,1200,102,2100,102,78,94
123,133,-0.2,1015.5,-8.4,0,1,131,146,78,94,2100,102,2700,102,70,104
106,139,2.1,1015.4,-8.6,0,0.9,123,133,70,104,2700,102,3000,102,76,102
107,150,5,1015.1,-8.9,0,1,106,139,76,102,3000,102,3000,102,75,97
117,165,6.7,1014.5,-8.9,0,1.3,107,150,75,97,3000,102,2700,102,93,106
131,176,9.1,1013.8,-8.5,0,0.9,117,165,93,106,2700,102,2600,102,86,114
141,177,10.9,1012.8,-8.4,0,1.3,131,176,86,114,2600,102,2600,102,86,126
153,190,12.3,1011.4,-8.8,0,0,141,177,86,126,2600,102,2700,18,78,143
169,198,13,1010.1,-8.3,0,1.5,153,190,78,143,2700,18,2500,102,72,152
169,181,13.3,1009.5,-8,0,1.6,169,198,72,152,2500,102,2600,102,68,170
174,198,13.8,1009.1,-7.6,0,1.9,169,181,68,170,2600,102,3100,102,73,204
194,221,13.2,1009,-7.5,0,1.8,174,198,73,204,3100,102,3000,102,82,205
208,243,11.6,1009.4,-7.3,0,0.7,194,221,82,205,3000,102,2399,94,88,189
213,249,9.4,1009.8,-5.7,0,0.7,208,243,88,189,2399,94,2000,68,85,170
203,236,6.7,1010.4,-5,0,0.1,213,249,85,170,2000,68,2299,47,90,187
209,240,5.2,1010.7,-4.7,0,0,203,236,90,187,2299,47,2500,42,92,185
222,250,4.3,1010.5,-2.6,0,1,209,240,92,185,2500,42,2899,32,104,188
228,245,4.3,1010.7,-4.2,0,0.8,222,250,104,188,2899,32,3200,30,103,184
227,240,4.9,1010.5,-5.8,0,0,228,245,103,184,3200,30,3100,30,111,192
236,251,5.6,1010.4,-7,0,0.8,227,240,111,192,3100,30,3299,30,111,187
245,261,3.5,1010.2,-6,0,0.5,236,251,111,187,3299,30,2700,30,97,173
176,220,6.3,1009.9,-7,0,1,245,261,97,173,2700,30,2700,30,94,172
168,191,6.3,1009.6,-7,0,0.7,176,220,94,172,2700,30,2600,30,89,169
155,182,5.1,1009.5,-6.5,0,1,168,191,89,169,2600,30,2500,30,84,163
152,176,4.6,1009.8,-6.3,0,0.7,155,182,84,163,2500,30,2399,30,86,172
154,181,4.1,1010.3,-6.2,0,0.8,152,176,86,172,2399,30,2700,30,95,163
190,194,5.3,1011,-6,0,0.9,154,181,95,163,2700,30,2600,30,105,156
193,199,6.9,1010.8,-6.5,0,1.3,190,194,105,156,2600,30,2200,30,78,134
185,200,8.4,1010.8,-6.6,0,0.8,193,199,78,134,2200,30,2399,30,76,129
138,172,8.8,1010.4,-6.2,0,1.1,185,200,76,129,2399,30,2299,30,74,124
177,177,9.5,1009.5,-6,0,1,138,172,74,124,2299,30,2399,30,82,130
182,197,10.4,1008.5,-5.6,0,0.2,177,177,82,130,2399,30,2600,30,88,138
198,220,11.5,1007.6,-5.1,0,0.8,182,197,88,138,2600,30,2600,30,99,149
221,245,13.2,1006.9,-4.5,0,1,198,220,99,149,2600,30,2799,30,107,157
240,258,14.7,1007,-4.6,0,1.3,221,245,107,157,2799,30,3000,30,109,162
245,261,14.6,1007.2,-4.7,0,0,240,258,109,162,3000,30,3200,30,123,164
239,264,11.8,1007.9,-4.4,0,0.6,245,261,123,164,3200,30,3500,30,128,185
240,275,8.5,1008.5,-4,0,0,239,264,128,185,3500,30,3299,22,133,185
245,289,8.5,1009.3,-4.4,0,0.4,240,275,133,185,3299,22,3500,22,119,183
244,292,5.8,1009.9,-3.6,0,0.2,245,289,119,183,3500,22,3600,22,117,178
247,293,5.3,1009.4,-4,0,0.7,244,292,117,178,3600,22,3899,22,120,173
248,285,8.3,1009.3,-3.6,0,1.8,247,293,120,173,3899,22,4500,22,124,167
246,283,5,1009.4,-3.3,0,1,248,285,124,167,4500,22,4500,22,120,163
251,280,2.9,1009.2,-3.2,0,0.6,246,283,120,163,4500,22,4400,22,112,158
245,274,2.2,1009,-3.3,0,1.6,251,280,112,158,4400,22,4299,22,114,156
253,278,3.3,1008.9,-3.3,0,1.6,245,274,114,156,4299,22,4000,22,106,151
250,272,1.2,1008.3,-3.9,0,0.4,253,278,106,151,4000,22,3899,22,94,144
242,266,0.9,1008.5,-2.5,0,1.4,250,272,94,144,3899,22,4400,22,86,144
242,264,0.5,1008.6,-3.4,0,0.9,242,266,86,144,4400,22,4799,22,71,139
242,262,-0.4,1008.4,-3.3,0,0.1,242,264,71,139,4799,22,5500,22,66,144
261,281,2.6,1008.7,-1.8,0,0,242,262,66,144,5500,22,6200,22,78,165
292,314,8.9,1008.7,-2.1,0,0.9,261,281,78,165,6200,22,6599,22,100,174
300,337,9.4,1007.9,-2.6,0,1.1,292,314,100,174,6599,22,5299,22,134,181
289,313,10.5,1007.2,-2.6,0,1,300,337,134,181,5299,22,4200,22,126,180
260,279,14.7,1005.5,-2.3,0,3.2,289,313,126,180,4200,22,5099,22,120,219
288,324,16,1003.2,-2.5,0,2.7,260,279,120,219,5099,22,5200,22,121,254
312,319,17.9,1001.8,-3,0,2.5,288,324,121,254,5200,22,3600,38,108,202
295,297,18.1,1000.5,-3.4,0,1.8,312,319,108,202,3600,38,3299,87,87,150
308,322,19.5,999.3,-4.8,0,3,295,297,87,150,3299,87,3100,105,73,133
243,293,19.1,998.9,-3.8,0,0.9,308,322,73,133,3100,105,2000,107,48,97
214,219,17.3,998.5,-3.5,0,0.4,243,293,48,97,2000,107,2000,107,60,102
206,224,12.5,998.9,-2.2,0,0.7,214,219,60,102,2000,107,2100,107,60,127
193,211,11.2,999.4,-1.6,0,1,206,224,60,127,2100,107,2399,20,60,171
184,244,10.2,999.6,0.2,0,0.5,193,211,60,171,2399,20,3700,107,80,221
258,349,8.6,999.5,0.1,0,0.6,184,244,80,221,3700,107,5000,107,103,257
438,552,8.1,1000.1,-0.9,0,0.8,258,349,103,257,5000,107,5500,107,114,258
520,585,7,1000,-1.4,0,0.4,438,552,114,258,5500,107,5400,107,110,249
488,518,5.4,1000,-1.5,0,0.9,520,585,110,249,5400,107,4799,107,115,241
450,455,5.3,1000.2,-1.8,0,0.9,488,518,115,241,4799,107,4900,107,106,232
362,407,4.1,999.9,-2.3,0,0,450,455,106,232,4900,107,4799,107,100,226
322,364,3.5,999.8,-2.5,0,0.6,362,407,100,226,4799,107,4599,107,89,216
308,336,3.4,1000.2,-2.6,0,1,322,364,89,216,4599,107,4200,107,72,189
296,322,3.4,1001,-2,0,0.2,308,336,72,189,4200,107,4500,107,55,184
123,131,3.5,1001.6,-2.5,0,0.7,296,322,55,184,4500,107,4799,107,60,196
3,6,6.6,1002.2,-0.9,0,0.1,123,131,60,196,4799,107,5200,107,60,190
3,223,11.6,1002.3,-1.9,0,1,3,6,60,190,5200,107,6000,107,69,200
311,373,16.6,1002.6,-3.5,0,1,3,223,69,200,6000,107,5400,107,92,199
260,197,19.9,1002.4,-5.2,0,0.9,311,373,92,199,5400,107,NA,107,81.1104,191.3396
200,203,21.2,1002,-2.7,0,3.1,260,197,81.1104,191.3396,NA,107,3600,107,55,188
108,114,21.7,1001.1,-4.4,0,2.9,200,203,55,188,3600,107,1800,107,28,120
159,202,17.2,1001,0.8,0,3.5,108,114,28,120,1800,107,1800,107,34,113
203,493,13.8,1001.2,-0.3,0,4.9,159,202,34,113,1800,107,2799,107,58,129
284,422,11.9,1001.5,-2,0,5.1,203,493,58,129,2799,107,3299,107,84,138
163,240,10.9,1001.7,-1.5,0,2.4,284,422,84,138,3299,107,1899,104,58,106
111,131,9.9,1001.9,-1.5,0,1.6,163,240,58,106,1899,104,1200,99,41,84
52,83,9.2,1002.4,-1,0,1.3,111,131,41,84,1200,99,1000,99,33,64
88,111,8.4,1002.4,-2.3,0,1.9,52,83,33,64,1000,99,1200,99,30,82
58,72,7.2,1002.2,-3.7,0,3,88,111,30,82,1200,99,1200,99,35,89
57,80,6,1002,-4.5,0,1.9,58,72,35,89,1200,99,1300,99,30,85
87,43,5.9,1001.1,-5.1,0,1,57,80,30,85,1300,99,1600,99,40,96
48,53,5.3,999.2,-5.1,0,0.4,87,43,40,96,1600,99,1700,99,50,84
50,69,4.4,997.9,-4.9,0,0,48,53,50,84,1700,99,2299,99,51,104
58,77,3,996.9,-4.2,0,0.1,50,69,51,104,2299,99,2399,99,55,79
64,93,2.6,995.9,-3.7,0,1.2,58,77,55,79,2399,99,2399,99,NA,76
74,98,2.3,994.7,-4.2,0,0.9,64,93,NA,76,2399,99,NA,99,52,89
83,99,1.7,993.7,-4,0,0,74,98,52,89,NA,99,2100,99,59,NA
81,108,2.4,993.9,-3.9,0,1.7,83,99,59,NA,2100,99,2799,99,71,110
104,112,4,994.1,-3.5,0,1.4,81,108,71,110,2799,99,3000,99,69,125
113,135,5,994.7,-2.8,0,1.7,104,112,69,125,3000,99,2399,99,60,118
110,140,7,996,-3.3,0,0.4,113,135,60,118,2399,99,2399,99,60,116
114,158,14.3,997.3,-1.8,0,5.3,110,140,60,116,2399,99,2100,99,74,110
151,365,17.3,999.6,-5.9,0,7.5,114,158,74,110,2100,99,2100,99,92,105
94,556,13.8,1002.9,-10.9,0,6.1,151,365,92,105,2100,99,800,99,51,48
77,NA,11.7,1005.8,-16.8,0,9.2,94,556,51,48,800,99,400,99,8,23
43,587,9.9,1008.5,-19.3,0,6.4,77,NA,8,23,400,99,300,99,3,19
42,602,9.5,1009.8,-19.6,0,7.1,43,587,3,19,300,99,300,95,3,17
38,495,9.7,1011.1,-19.4,0,4.7,42,602,3,17,300,95,300,95,3,17
22,276,10,1012.8,-20.3,0,6.2,38,495,3,17,300,95,300,95,3,18
17,187,8.9,1014.7,-20.1,0,6.5,22,276,3,18,300,95,300,95,3,18
23,143,7.9,1017.5,-20.8,0,5.2,17,187,3,18,300,95,300,94,3,18
13,94,6.9,1019.2,-20.6,0,7.1,23,143,3,18,300,94,400,94,3,19
13,136,6.1,1021,-20.3,0,8.8,13,94,3,19,400,94,400,94,3,18
12,66,5.6,1022.6,-19.9,0,4.5,13,136,3,18,400,94,400,94,3,19
9,35,5.3,1023.1,-20.1,0,2.4,12,66,3,19,400,94,400,94,3,20
9,12,4.3,1023.4,-20.1,0,1.6,9,35,3,20,400,94,400,94,3,22
13,16,2.1,1022.9,-17.5,0,1.6,9,12,3,22,400,94,500,94,3,29
3,10,0.2,1023.2,-16.6,0,0.5,13,16,3,29,500,94,500,94,8,40
3,12,-1.6,1023.1,-15.8,0,0,3,10,8,40,500,94,500,94,12,44
13,19,-0.9,1023.3,-15.9,0,0,3,12,12,44,500,94,700,94,16,60
3,20,-1.9,1024,-14.7,0,0,13,19,16,60,700,94,800,94,18,64
18,52,-2.8,1024.1,-13.4,0,0,3,20,18,64,800,94,1000,94,14,69
22,47,-2.1,1024.4,-13.3,0,0.1,18,52,14,69,1000,94,2200,94,17,81
29,44,3.7,1025.4,-15.6,0,3,22,47,17,81,2200,94,1500,94,21,80
29,45,5.7,1025.5,-16.8,0,2.8,29,44,21,80,1500,94,NA,94,22,81
29,62,6.8,1025,-17.3,0,5.2,29,45,22,81,NA,94,900,94,29,51
25,52,8.7,1024.3,-17.4,0,3.1,29,62,29,51,900,94,900,94,19,41
31,80,9.9,1023.7,-17.3,0,2.4,25,52,19,41,900,94,900,94,17,32
28,52,11.3,1022.8,-17.2,0,1.3,31,80,17,32,900,94,700,94,18,31
35,49,11.2,1021.7,-17.2,0,3.8,28,52,18,31,700,94,700,94,16,31
35,55,11.4,1020.8,-16.1,0,3.9,35,49,16,31,700,94,600,94,13,29
42,75,11.3,1020.4,-16.2,0,3.9,35,55,13,29,600,94,600,97,13,28
40,72,10.8,1020.2,-14.9,0,4.6,42,75,13,28,600,97,600,97,15,30
45,103,9.6,1020.2,-14.3,0,3,40,72,15,30,600,97,600,97,19,36
50,108,8.9,1020.6,-13.5,0,3.7,45,103,19,36,600,97,700,97,19,43
60,100,8.3,1020.9,-12.8,0,3.2,50,108,19,43,700,97,800,97,24,51
74,130,7.6,1021.1,-12.3,0,2.4,60,100,24,51,800,97,1000,97,28,75
78,120,7.2,1021.2,-12.1,0,2.8,74,130,28,75,1000,97,1200,97,26,84
81,139,6.8,1020.6,-11.9,0,2.3,78,120,26,84,1200,97,1700,97,34,88
86,133,6.7,1020.7,-12.5,0,2.4,81,139,34,88,1700,97,1399,97,41,79
92,143,5.3,1020.5,-11.3,0,0.9,86,133,41,79,1399,97,1100,97,60,63
103,156,4.5,1020.1,-11.2,0,0.8,92,143,60,63,1100,97,1399,97,67,74
104,138,3.6,1019.3,-10.5,0,0.4,103,156,67,74,1399,97,1399,97,67,79
105,143,2.4,1019,-9.9,0,0.4,104,138,67,79,1399,97,1300,97,65,71
104,135,0.2,1018.9,-9,0,1.6,105,143,65,71,1300,97,1300,97,58,78
106,141,1.5,1018.9,-8.9,0,0.1,104,135,58,78,1300,97,1399,97,47,76
99,124,-0.2,1019.1,-8.2,0,0.8,106,141,47,76,1399,97,1300,97,52,77
83,105,2.1,1019.2,-7.8,0,0.8,99,124,52,77,1300,97,1800,97,36,83
98,124,5,1019.1,-8.2,0,0.8,83,105,36,83,1800,97,1500,97,46,86
102,127,6,1018.6,-8.7,0,2.3,98,124,46,86,1500,97,1399,97,69,81
118,145,7.5,1017.8,-8.6,0,2.2,102,127,69,81,1399,97,1500,97,92,83
119,146,9.1,1016.5,-9.4,0,2,118,145,92,83,1500,97,NA,97,92,83
3,3,10.5,1015.2,-9.3,0,1.9,119,146,92,83,NA,97,1899,97,198,85
89,146,11.6,1013.8,-7.8,0,3.1,3,3,198,85,1899,97,1000,97,96,86
121,148,11.8,1012.8,-7.6,0,3.7,89,146,96,86,1000,97,800,97,87,68
106,126,11.6,1012.1,-7.8,0,3.4,121,148,87,68,800,97,800,93,84,65
114,152,11,1011.3,-6.4,0,2.7,106,126,84,65,800,93,900,86,94,76
140,199,10.6,1011.6,-4.6,0,2.2,114,152,94,76,900,86,1600,85,137,89
141,202,10.4,1011.9,-4.1,0,1.3,140,199,137,89,1600,85,1100,76,79,86
150,200,10.4,1012.2,-3.3,0,0.8,141,202,79,86,1100,76,1100,57,57,88
165,224,10.2,1012.4,-5,0,1.1,150,200,57,88,1100,57,1300,57,64,112
178,229,9.6,1011.8,-5.1,0,0.8,165,224,64,112,1300,57,1399,57,64,116
136,200,9.2,1011.5,-5.5,0,1.5,178,229,64,116,1399,57,1200,57,52,107
103,139,8.5,1010.4,-5.4,0,0.9,136,200,52,107,1200,57,900,57,40,83
98,136,7.8,1009.7,-5.3,0,1.3,103,139,40,83,900,57,900,57,42,89
115,166,7.6,1008.8,-4.8,0,1.1,98,136,42,89,900,57,1200,57,56,97
125,164,6.7,1007.9,-3.8,0,0.8,115,166,56,97,1200,57,1300,57,55,89
120,145,7.2,1008,-2.8,0,1.5,125,164,55,89,1300,57,1100,57,53,84
113,141,5.6,1008.6,-0.1,0.5,0.2,120,145,53,84,1100,57,1100,57,52,82
131,160,4.5,1008.3,0.8,0.3,1.7,113,141,52,82,1100,57,1700,57,41,87
133,143,3.8,1008.5,2,1,0,131,160,41,87,1700,57,2000,57,24,91
124,144,3,1008.8,1.5,2.6,0.9,133,143,24,91,2000,57,1399,57,18,76
116,92,3.4,1008.8,2.2,0.3,1.7,124,144,18,76,1399,57,1300,57,13,76
117,98,3.5,1008.6,2.3,0.1,1.3,116,92,13,76,1300,57,1399,57,12,81
110,116,3.7,1008.9,2.5,0.2,0.9,117,98,12,81,1399,57,1600,57,14,90
146,116,4,1008.7,2.7,0.1,1.6,110,116,14,90,1600,57,1600,57,15,93
158,124,4.6,1008.2,2.8,0.1,1.3,146,116,15,93,1600,57,1700,57,15,93
151,112,4.9,1008.8,3.2,0,1.5,158,124,15,93,1700,57,1500,57,19,89
134,100,5.2,1009.1,3.4,0,2.1,151,112,19,89,1500,57,1300,57,24,87
134,98,5.6,1009.3,3.8,0,1.5,134,100,24,87,1300,57,1300,48,21,84
136,112,6.5,1009.7,3.8,0.1,0,134,98,21,84,1300,48,1300,40,22,88
138,108,6.4,1011.3,3.5,0,0.8,136,112,22,88,1300,40,1399,40,23,86
123,126,5.3,1012.7,3.5,0,1.4,138,108,23,86,1399,40,1300,36,29,99
123,124,4.6,1014.3,3.4,0,0.6,123,126,29,99,1300,36,1399,17,28,104
140,125,4.6,1016.3,3.4,0,0.8,123,124,28,104,1399,17,1399,17,26,98
133,117,4.6,1017.6,3.6,0,1.9,140,125,26,98,1399,17,1500,17,24,92
123,126,4.1,1018.7,1.6,0,0.9,133,117,24,92,1500,17,1899,17,25,95
101,127,5.3,1019.5,-6.3,0,2.5,123,126,25,95,1899,17,1200,11,31,83
38,15,4.5,1020.3,-9,0,3.5,101,127,31,83,1200,11,300,46,32,45
16,20,3.4,1020.8,-9.3,0,1.6,38,15,32,45,300,46,NA,76,15,25
3,6,2.3,1021.2,-9.9,0,1.5,16,20,15,25,NA,76,NA,76,15,19
3,6,1.5,1021.8,-11.3,0,1.1,3,6,15,19,NA,76,NA,76,9,19
3,7,0.7,1022.6,-10.2,0,1.2,3,6,9,19,NA,76,300,79,8,19
9,10,0.3,1023.3,-10.5,0,1.5,3,7,8,19,300,79,400,79,9,28
12,14,0.1,1024.4,-10.7,0,0.9,9,10,9,28,400,79,500,79,15,35
11,20,2.2,1025.7,-11,0,1.8,12,14,15,35,500,79,600,79,19,59
18,31,3,1027.1,-12.1,0,4,11,20,19,59,600,79,600,79,22,57
15,30,4,1027.5,-13.4,0,3.4,18,31,22,57,600,79,500,79,18,43
16,26,4.7,1027.4,-13.7,0,2.3,15,30,18,43,500,79,400,79,11,32
12,16,5.7,1026.7,-11.9,0,2.9,16,26,11,32,400,79,400,79,7,25
9,16,6.1,1026,-15.9,0,1.5,12,16,7,25,400,79,400,79,6,23
16,6,7.1,1024.9,-15,0,1.4,9,16,6,23,400,79,400,83,5,20
13,24,8.3,1024.3,-16.1,0,0.9,16,6,5,20,400,83,300,84,5,22
9,13,8.2,1023.9,-14.8,0,2.8,13,24,5,22,300,84,300,84,6,22
11,16,8,1024,-14.3,0,1.8,9,13,6,22,300,84,300,84,6,22
18,26,7,1024.5,-14.5,0,1.7,11,16,6,22,300,84,500,84,7,30
27,38,6,1025.3,-13.1,0,1.5,18,26,7,30,500,84,500,84,9,46
35,48,5.6,1025.8,-12,0,2,27,38,9,46,500,84,600,84,12,54
36,45,5,1026.3,-11.6,0,1.4,35,48,12,54,600,84,600,84,12,48
33,40,4.8,1026.6,-11.8,0,1.8,36,45,12,48,600,84,600,84,11,56
36,41,3.8,1026.6,-6.8,0,3,33,40,11,56,600,84,1100,84,14,57
44,59,2.4,1026.9,-4.8,0,2.9,36,41,14,57,1100,84,1100,84,19,58
